COUNTER_LOCATION (group),Hour of Collection Timestamp,Year of Collection Timestamp,Average Bike Count
2nd St North of Townsend SB,0,2016,0.727011494
2nd St North of Townsend SB,0,2017,0.805479452
2nd St North of Townsend SB,1,2016,0.422413793
2nd St North of Townsend SB,1,2017,0.342465753
2nd St North of Townsend SB,2,2016,0.250720461
2nd St North of Townsend SB,2,2017,0.334246575
2nd St North of Townsend SB,3,2016,0.204022989
2nd St North of Townsend SB,3,2017,0.263013699
2nd St North of Townsend SB,4,2016,0.339080460
2nd St North of Townsend SB,4,2017,0.430136986
2nd St North of Townsend SB,5,2016,1.839541547
2nd St North of Townsend SB,5,2017,1.860273973
2nd St North of Townsend SB,6,2016,4.103151862
2nd St North of Townsend SB,6,2017,5.810958904
2nd St North of Townsend SB,7,2016,7.739255014
2nd St North of Townsend SB,7,2017,8.838356164
2nd St North of Townsend SB,8,2016,12.942693410
2nd St North of Townsend SB,8,2017,12.331506849
2nd St North of Townsend SB,9,2016,12.237822350
2nd St North of Townsend SB,9,2017,13.904109589
2nd St North of Townsend SB,10,2016,9.028653295
2nd St North of Townsend SB,10,2017,9.375342466
2nd St North of Townsend SB,11,2016,8.432664756
2nd St North of Townsend SB,11,2017,9.219178082
2nd St North of Townsend SB,12,2016,9.512893983
2nd St North of Townsend SB,12,2017,10.709589041
2nd St North of Townsend SB,13,2016,9.131805158
2nd St North of Townsend SB,13,2017,9.687671233
2nd St North of Townsend SB,14,2016,9.375358166
2nd St North of Townsend SB,14,2017,9.832876712
2nd St North of Townsend SB,15,2016,12.404011461
2nd St North of Townsend SB,15,2017,14.652054795
2nd St North of Townsend SB,16,2016,27.022922636
2nd St North of Townsend SB,16,2017,32.010958904
2nd St North of Townsend SB,17,2016,51.206303725
2nd St North of Townsend SB,17,2017,55.421917808
2nd St North of Townsend SB,18,2016,35.979942693
2nd St North of Townsend SB,18,2017,38.498630137
2nd St North of Townsend SB,19,2016,15.871060172
2nd St North of Townsend SB,19,2017,15.947945205
2nd St North of Townsend SB,20,2016,9.031518625
2nd St North of Townsend SB,20,2017,9.443835616
2nd St North of Townsend SB,21,2016,4.825214900
2nd St North of Townsend SB,21,2017,5.616438356
2nd St North of Townsend SB,22,2016,2.679083095
2nd St North of Townsend SB,22,2017,3.057534247
2nd St North of Townsend SB,23,2016,1.449856734
2nd St North of Townsend SB,23,2017,1.621917808
6th Ave north of Kirkham SB,0,2016,0.333333333
6th Ave north of Kirkham SB,0,2017,0.210958904
6th Ave north of Kirkham SB,1,2016,0.095628415
6th Ave north of Kirkham SB,1,2017,0.079452055
6th Ave north of Kirkham SB,2,2016,0.054644809
6th Ave north of Kirkham SB,2,2017,0.038356164
6th Ave north of Kirkham SB,3,2016,0.032786885
6th Ave north of Kirkham SB,3,2017,0.002739726
6th Ave north of Kirkham SB,4,2016,0.008196721
6th Ave north of Kirkham SB,4,2017,0.005479452
6th Ave north of Kirkham SB,5,2016,0.016393443
6th Ave north of Kirkham SB,5,2017,0.021917808
6th Ave north of Kirkham SB,6,2016,0.245901639
6th Ave north of Kirkham SB,6,2017,0.156164384
6th Ave north of Kirkham SB,7,2016,1.051912568
6th Ave north of Kirkham SB,7,2017,0.742465753
6th Ave north of Kirkham SB,8,2016,1.885245902
6th Ave north of Kirkham SB,8,2017,1.915068493
6th Ave north of Kirkham SB,9,2016,1.319672131
6th Ave north of Kirkham SB,9,2017,1.583561644
6th Ave north of Kirkham SB,10,2016,1.445355191
6th Ave north of Kirkham SB,10,2017,1.802739726
6th Ave north of Kirkham SB,11,2016,2
6th Ave north of Kirkham SB,11,2017,2.046575342
6th Ave north of Kirkham SB,12,2016,2.666666667
6th Ave north of Kirkham SB,12,2017,2.482191781
6th Ave north of Kirkham SB,13,2016,2.409836066
6th Ave north of Kirkham SB,13,2017,2.863013699
6th Ave north of Kirkham SB,14,2016,3.270491803
6th Ave north of Kirkham SB,14,2017,3.027397260
6th Ave north of Kirkham SB,15,2016,3.713114754
6th Ave north of Kirkham SB,15,2017,3.745205479
6th Ave north of Kirkham SB,16,2016,6.060109290
6th Ave north of Kirkham SB,16,2017,6.079452055
6th Ave north of Kirkham SB,17,2016,10.002732240
6th Ave north of Kirkham SB,17,2017,8.917808219
6th Ave north of Kirkham SB,18,2016,9.948087432
6th Ave north of Kirkham SB,18,2017,8.531506849
6th Ave north of Kirkham SB,19,2016,6.557377049
6th Ave north of Kirkham SB,19,2017,5.106849315
6th Ave north of Kirkham SB,20,2016,3.680327869
6th Ave north of Kirkham SB,20,2017,2.849315068
6th Ave north of Kirkham SB,21,2016,1.661202186
6th Ave north of Kirkham SB,21,2017,1.334246575
6th Ave north of Kirkham SB,22,2016,1.300546448
6th Ave north of Kirkham SB,22,2017,1.161643836
6th Ave north of Kirkham SB,23,2016,0.967213115
6th Ave north of Kirkham SB,23,2017,0.605479452
7th Ave north of Kirkham SB,0,2016,1.486338798
7th Ave north of Kirkham SB,0,2017,1.068493151
7th Ave north of Kirkham SB,1,2016,0.628415301
