OBJECTID,COUNTER,LOCATION,LAT,LON,INSTALL_DATE,NOTES,GLOBALID,CNN_NODE,CNN_BLOCK,IDENTIFIER,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
72,67,Fell Street west of Scott WB,37.774241,-122.436214,20090210000000,,,"26,050,000","26,050,000",100044161,POINT (-122.4362 37.774235),26,4,11,9,26
1,4,Marina Bike Path East of Baker St,37.805169,-122.446977,20160506000000,,,"26,796,000","8,708,101",100018375,POINT (-122.44696 37.805164),17,4,6,13,17
14,3,Holloway Ave West of Stratford WB,37.72131,-122.47421,20150905000000,,,"23,016,000","6,994,201",100018422,POINT (-122.47423 37.7213),41,10,8,41,41
19,23,Cesar Chavez East of Folsom WB,37.74835,-122.413,20150831000000,,,"21,177,000","2,485,201",100018409,POINT (-122.4131 37.748207),83,3,2,2,83
60,39,Cabrillo West of Arguello,37.775609,-122.458659,20150920000000,,,"27,212,000","3,467,000",100025365,POINT (-122.45865 37.775604),5,8,4,11,5
48,29,2nd St North of Townsend SB,37.781168,-122.391229,20150817000000,,,"23,803,000","147,000",100018394,POINT (-122.39121 37.781162),31,1,10,8,31
31,74,Valencia St. Totem NB,37.764049,-122.421803,20160503000000,,,"24,183,000","13,060,000",100021112,POINT (-122.42179 37.764046),53,3,2,20,53
43,26,Bayshore Blvd. North of Boutwell,37.734529,-122.405684,20151114000000,,,"33,270,000","2,803,000",100025368,POINT (-122.40567 37.734524),87,2,9,1,87
32,11,Townsend East of 5th,37.775701,-122.39674,20150926000000,,,"23,823,000","12,663,000",100025370,POINT (-122.39673 37.775696),34,1,10,4,34
57,14,Market St. East of 2nd St. EB,37.7899,-122.400487,20160123000000,,,"30,734,000","8,742,101",100018392,POINT (-122.400475 37.789894),108,6,10,8,108
22,48,Oakdale Ave. North of Newhall St.,37.735908,-122.392648,20151114000000,,,"20,667,000","9,789,000",100025369,POINT (-122.39263 37.7359),86,2,9,1,86
28,31,Post St. East of Presidio Blvd.,37.783595,-122.445358,20150919000000,,,"26,838,000","10,656,000",100025366,POINT (-122.44534 37.78359),103,8,6,31,103
51,45,23rd Ave. North of Clement SB,37.783037,-122.482802,20160130000000,,,"27,647,000","1,212,000",100018385,POINT (-122.48279 37.78303),8,8,4,29,8
61,68,7th Ave north of Kirkham SB,37.761337,-122.463977,20101115000000,,,"27,143,000","361,000",100005215,POINT (-122.46397 37.761333),109,7,11,14,109
36,46,Market St East of Castro WB,37.76307,-122.434662,20151010000000,,,"25,814,000","8,767,201",100018418,POINT (-122.43465 37.763065),28,3,5,5,28
